gene_symbol	TCGA-13-1484	TCGA-13-1489	TCGA-13-1494	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1762	TCGA-29-1763	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1907	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2612
A2M	-0.82	-0.527	0.13	-1.642	0.485	-1.703	0.205	-0.684	-0.263	-1.976	-0.131	-0.261	0.689	1.475	-0.659	0.707	3.062	2.045	-0.839	-0.36	0.969	-1.023	0.695	-0.821	-0.516	-0.343	0.142	1.335	-1.381	1.557	-0.305	1.309	0.451	1.016	1.526	-0.772	0.177	-1.565	2	-1.226	-1.293	-0.044	-1.187	0.124	-0.404	0.018	0.065	1.057	-0.008	-0.193	-0.176	-0.536	0.994	-0.631	0.007	1.365	0.878	-0.839	0.393	0.215	-1.074	-0.672	0.261	0.218	-0.847	-0.61	0.756
ACADM	0.819	0.169	-0.586	-0.498	-0.743	1.666	1.864	-2.375	1.557	-0.076	0.77	-0.652	0.031	1.868	-0.023	-0.485	-0.134	0.734	-0.486	1.128	-0.537	0.525	-0.373	1.071	-0.034	0.523	-0.825	-0.451	-1.871	-0.716	0.8	1.052	0.227	2.775	-0.712	-0.895	0.956	-0.503	-0.929	0.709	-1.615	-0.897	0.354	1.702	-0.419	-0.211	-0.153	-0.903	-0.125	-1.016	0.613	-0.191	-0.959	0.493	-1.05	0.741	0.109	0.323	-0.172	-2.221	1.205	0.677	-1.07	-0.266	0.327	0.787	-1.402
ACADS	0.006	0.46	-0.298	0.307	-0.587	1.428	-1.374	-0.89	1.064	0.185	0.862	-0.66	0.377	-1.128	1.263	0.324	0.86	1.318	-0.62	1.363	-0.545	0.932	0.915	0.324	-1.13	0.629	1.137	-0.142	-1.037	-1.909	1.355	0.558	-0.337	1.18	0.059	-1.089	0.21	0.383	-0.384	1.245	0.322	0.072	0.706	0.236	-1.27	0.497	-0.734	-1.185	-1.626	-0.917	-0.78	-1.742	-1.032	-0.939	0.783	1.261	-1.197	1.249	0.307	0.293	-0.929	-0.27	2.257	-2.366	1.42	-1.118	0.084
ACADVL	-0.417	2.769	-0.69	-0.322	-0.607	-1.271	-1.016	-1.97	0.691	-0.721	0.922	-1.711	-0.402	1.118	-0.196	-1.001	0.781	0.161	-0.268	-0.312	0.174	-0.379	1.766	0.624	0.796	-0.687	-2.893	1.326	0.971	1	0.336	-0.299	0.668	0.287	-0.25	-0.489	1.738	0.565	-1.135	0.256	1.815	0.786	0.364	-0.196	0.809	-2.035	0.118	-0.803	-0.849	-0.88	0.141	-0.695	0.172	2.303	-0.011	0.58	-0.97	-0.309	-0.044	-0.05	0.385	0.331	0.555	-0.829	-0.746	0.022	0.12
ACAT1	0.435	1.606	-1.935	-0.681	-0.362	1.854	1.916	1.488	1.578	1.309	-0.603	-0.947	2.558	-1.829	0.023	-1.55	0.005	0.309	-0.225	1.192	-0.43	-1.118	-0.482	1.146	2.471	0.314	0.416	-0.81	-0.881	-0.421	-0.156	0.975	0.203	0.115	-0.216	-1.408	0.729	-0.955	0.69	0.316	-0.109	-0.078	0.926	-0.083	0.325	-0.026	0.786	-0.542	-0.149	0.201	-1.007	-1.638	-0.922	-0.088	-0.532	-0.936	-0.955	0.439	0.155	-0.721	-0.513	-0.931	0.281	-1.08	0.957	0.666	-1.066
ADA	1.984	-0.497	-0.825	0.208	-0.203	1.878	-0.631	-0.069	-0.262	-1.522	0.412	-0.014	-0.169	0.037	1.251	3.237	-0.735	-0.763	0.758	-1.538	0.401	-0.236	0.644	-1.163	-0.092	-2.617	0.507	0.143	-0.448	-1.608	-0.283	0.804	0.923	-0.621	-0.557	0.556	1.179	1.114	-0.236	0.262	0.66	-0.368	-0.57	0.035	-0.425	-0.595	0.079	-0.996	-1.331	-0.309	0.613	-0.487	1.011	-1.36	1.94	-0.469	0.538	-0.792	1.819	0.649	0.141	-1.494	-0.128	0.623	-0.848	-0.291	1.145
ADSL	0.775	1.007	-0.74	0.595	-1.04	-1.073	2.263	-2.064	-0.681	0.683	0.657	-1.544	3.947	-1.479	0.294	-0.305	1.373	-0.278	0.762	0.735	0.176	-0.249	0.794	0.543	0.402	-0.517	-0.278	-0.844	1.367	-2.143	-0.527	0.058	0.294	-0.861	-0.134	0.814	0.179	-0.259	-0.125	0.248	0.863	-0.995	-1.142	0.435	-0.988	0.961	0.333	-0.661	-0.226	-0.321	1.056	-0.589	-0.115	-1.086	1.187	0.991	0.618	-0.864	0.673	-1.129	-1.436	-0.386	0.16	0.075	0.242	-0.619	0.137
AGT	-1.134	-0.242	-0.623	-1.082	0.394	-0.663	-1.087	-0.381	1.037	-0.376	-0.058	-1.595	-0.228	-0.344	-0.531	2.766	4.282	1.516	-0.151	-0.015	1.046	0.418	0.385	-1.108	0.252	1.285	-0.214	0.547	-0.831	-0.092	-1.234	1.013	-0.18	0.031	0.987	-0.327	0.964	-1.113	0.218	-0.631	-0.335	2.092	-0.923	-0.824	-0.425	0.377	0.792	1.022	-1.064	0.051	-0.281	-0.554	-0.699	-0.839	-0.234	0.815	-0.37	-0.182	-0.559	-0.265	-0.54	-0.617	-1.307	-0.07	0.026	1.532	0.481
ALAD	0.531	-1.324	0.521	0.241	0.621	-2.024	-1.432	-0.343	0.454	-1.429	0.444	1.348	-0.694	1.143	-0.468	-0.12	1.93	1.113	-0.015	0.029	-0.166	-0.335	3.675	0.503	0.382	0.777	2.343	-0.961	-0.812	0.157	-0.017	-1.199	-0.123	0.403	1.643	-0.225	-0.435	-0.502	0.193	0.085	-0.507	0.421	-0.502	-0.794	-1.34	0.682	-0.415	0.159	1.551	1.302	-0.832	-0.433	0.344	0.485	0.262	-1.67	-0.348	0.862	0.674	-0.156	-1.435	-1.406	-0.343	-0.438	-0.899	-0.676	-0.461
ALDOA	-1.068	1.361	-0.31	-1.773	0.847	-2.037	1.041	1.348	1.921	1.381	-0.567	0.918	-0.903	1.454	-0.809	0.278	0.057	0.309	-0.277	-0.341	-1.002	-0.222	-0.337	1.03	0.272	-0.947	-1.375	-0.207	0.439	0.924	-1.408	0.729	0.379	-0.864	-0.648	0.817	0.085	-0.888	-0.622	-1.136	-1.586	-0.517	-0.275	1.708	0.764	-0.576	-0.262	0.39	-0.33	-0.756	1.739	1.697	1.445	-0.51	-1.134	-0.207	-0.471	2.785	-0.561	0.217	0.024	-1.597	-0.152	0.136	-0.036	0.175	0.041
