miRNA_normalized_dat_mean_centered_w_fam_names_14072020.txt,miRNA_family	protein_normalized_dat_mean_centered_14072020.txt,entrezs
mir-99-5p/100-5p	56603
mir-99-5p/100-5p	10217
mir-99-5p/100-5p	55754
mir-99-5p/100-5p	9956
mir-99-5p/100-5p	65084
mir-99-5p/100-5p	131405
mir-99-5p/100-5p	29841
mir-99-5p/100-5p	2475
mir-99-5p/100-5p	27351
mir-99-5p/100-5p	84541
mir-99-5p/100-5p	8467
mir-99-5p/100-5p	6602
mir-99-5p/100-5p	2117
mir-99-5p/100-5p	4154
mir-99-5p/100-5p	51341
mir-99-5p/100-5p	55225
mir-99-5p/100-5p	10482
mir-99-5p/100-5p	22996
mir-99-5p/100-5p	6764
mir-99-5p/100-5p	6304
mir-99-5p/100-5p	8897
mir-99-5p/100-5p	124359
mir-99-5p/100-5p	55435
mir-99-5p/100-5p	64793
mir-99-5p/100-5p	2261
mir-99-5p/100-5p	25780
mir-99-5p/100-5p	7855
mir-99-5p/100-5p	8325
mir-99-5p/100-5p	9953
mir-99-5p/100-5p	3198
mir-99-5p/100-5p	23507
mir-99-5p/100-5p	8833
mir-99-5p/100-5p	51050
mir-99-5p/100-5p	84667
mir-99-5p/100-5p	83591
mir-99-5p/100-5p	3642
mir-99-5p/100-5p	2289
mir-99-5p/100-5p	25836
mir-99-5p/100-5p	64795
mir-99-5p/100-5p	27090
mir-99-5p/100-5p	2649
mir-99-5p/100-5p	223082
mir-99-5p/100-5p	23463
mir-99-5p/100-5p	11176
mir-99-5p/100-5p	23135
mir-99-5p/100-5p	659
mir-99-5p/100-5p	23140
mir-99-5p/100-5p	27161
mir-99-5p/100-5p	23446
mir-99-5p/100-5p	57551
mir-99-5p/100-5p	4916
mir-99-5p/100-5p	54749
mir-99-5p/100-5p	58528
mir-99-5p/100-5p	5010
mir-99-5p/100-5p	3480
mir-99-5p/100-5p	5500
mir-99-5p/100-5p	5530
mir-99-5p/100-5p	10221
mir-99-5p/100-5p	28951
mir-193a-5p	57551
mir-193a-5p	54733
mir-193a-5p	343637
mir-193a-5p	157680
mir-193a-5p	56181
mir-193a-5p	146227
mir-193a-5p	64924
mir-193a-5p	9509
mir-193a-5p	58525
mir-193a-5p	5911
mir-193a-5p	56957
mir-193a-5p	4650
mir-193a-5p	4644
mir-193a-5p	4642
mir-193a-5p	643707
mir-193a-5p	440295
mir-193a-5p	253970
mir-193a-5p	57486
mir-193a-5p	5429
mir-193a-5p	7414
mir-193a-5p	151516
mir-193a-5p	493869
mir-193a-5p	23164
mir-193a-5p	6120
mir-193a-5p	139324
mir-193a-5p	284106
mir-193a-5p	5930
mir-193a-5p	51020
mir-193a-5p	6695
mir-193a-5p	647042
mir-193a-5p	6581
mir-193a-5p	51573
mir-193a-5p	80031
mir-193a-5p	84962
mir-193a-5p	57704
mir-193a-5p	2899
mir-193a-5p	2637
mir-193a-5p	766
mir-193a-5p	90427
mir-193a-5p	29927
mir-193a-5p	2776
mir-193a-5p	9819
mir-193a-5p	113189
mir-193a-5p	5198
mir-193a-5p	9891
mir-193a-5p	40
mir-193a-5p	5087
mir-193a-5p	10841
mir-193a-5p	6939
mir-193a-5p	441869
mir-193a-5p	29789
