gene_info	entrezs	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
A1BG	1	-0.085	0.133	0.134	0.124	0.054	-0.1	-0.174	-0.109	0.071	-0.309	0.329	-0.09	0.264	0.085	-0.265	0	-0.064
A2M	2	-0.131	0.344	0.137	-0.961	-1.136	-1.235	-1.122	0.323	-0.284	1.114	0.472	2.317	-0.436	0.453	0.231	0.109	-0.196
ABHD14B	84836	-0.365	-0.158	-0.132	0.571	0.017	-0.178	-0.038	0.188	0.217	-0.092	-0.281	-0.386	-0.022	1.116	-0.094	-0.368	0.005
ABI3BP	25890	0.312	0.052	0.261	0.136	-0.057	-0.066	0.143	-0.232	-0.176	-0.224	0.247	0.179	0.854	-0.159	-0.509	-0.195	-0.566
ACAN	176	0.301	0.515	-0.272	-0.429	0.041	-0.199	-0.403	-0.84	0.59	0.207	1.287	-0.368	0.739	-0.059	-0.011	-0.64	-0.459
ACE	1636	0.239	-0.566	-0.348	-0.25	0.494	-0.485	0.297	0.184	-0.366	-0.117	-0.297	1.12	-0.321	0.075	0.544	0.248	-0.451
ACHE	43	0.083	0.199	0.045	-0.205	-0.439	0.406	0.493	1.142	-0.239	-0.899	-0.014	-0.323	-0.029	1.243	-0.89	-0.233	-0.342
ACLY	47	-0.513	0.102	0.179	0.527	-0.261	-0.102	0.009	0.165	-0.16	0.009	0.171	-0.153	-0.527	0.927	-0.56	0.1	0.089
ACO1	48	-0.522	0.213	0.209	0.805	0.139	0.801	1.025	0.1	0.258	-0.422	-0.173	0.008	-0.564	-0.366	-0.548	-0.63	-0.333
ACP1	52	-0.156	-0.079	0.023	0.325	0.071	-0.172	-0.484	0.137	-0.02	-0.534	-0.034	-0.514	1.005	0.962	-0.378	-0.125	-0.027
ACP2	53	0.018	0.052	-0.125	0.229	0.235	0.138	0.117	-0.12	0.199	-0.409	0.446	-0.278	0.404	-0.335	0.077	-0.445	-0.202
ACP5	54	0.799	0.113	0.517	0.047	0.509	0.434	-0.302	-0.139	0.126	-0.762	-0.146	0.256	0.123	-0.012	-0.447	-0.828	-0.289
ACTA1	58	0.015	-0.426	0.731	-0.527	0.267	-0.595	0.215	-0.776	-0.412	-0.748	-0.179	0.306	0.314	0.254	1.237	0.076	0.247
ACTN1	87	-1.771	-0.803	-1.009	1.288	0.068	1.09	-0.019	0.296	1.409	1.14	-0.697	-0.524	-0.869	0.386	-0.055	-0.253	0.323
ACTN2	88	-0.249	-0.081	-0.179	-0.468	-0.568	-0.793	-0.124	-0.146	-0.31	0.154	0.639	2.506	0.145	0.108	0.145	-0.676	-0.102
ACTN4	81	-0.995	-0.43	-0.7	1.048	-0.113	0.792	-0.14	0.046	1.052	0.743	-0.091	-0.703	0.014	-0.319	-0.077	-0.439	0.313
ACTR2	10097	-0.343	-0.488	1.418	-0.107	0.016	0.318	-0.659	-0.337	0.379	0.579	-0.224	0.218	-0.517	0.638	-0.086	-0.766	-0.041
ACTR3	10096	-1.009	-0.471	-0.423	0.062	0.285	0.565	-0.269	0.159	1.009	0.831	-0.092	0.048	-0.585	-0.337	0.455	-0.55	0.323
ACY1	95	-0.315	0.887	0.639	0.647	0.257	1.023	2.104	0.384	-0.604	-1.178	-0.392	-0.265	-0.462	-0.985	-0.634	-0.593	-0.513
ACYP1	97	0.109	-0.029	-0.242	0.17	0.199	0.034	0.018	0.028	-0.41	0.092	-0.195	-0.612	0.775	0.776	-0.134	-0.593	0.014
ACYP2	98	-0.391	0.139	-0.481	0.361	0.33	0.158	-0.363	0.023	-0.044	0.726	-0.041	0.133	0.144	-0.344	-0.25	-0.142	0.041
ADAM10	102	-0.361	-0.459	0.265	0.619	0.105	0.055	-0.053	-0.204	0.263	0.418	0.386	0.14	0.496	-0.517	-0.377	-0.462	-0.314
ADAM15	8751	0.16	-0.426	-0.142	-0.06	0.273	-0.174	-0.351	-0.355	0.1	-0.123	0.007	0.568	0.517	-0.554	0.173	0.553	-0.167
ADAM22	53616	0.164	0.134	0.07	-0.353	0.168	0.283	-0.156	-0.136	0.254	-0.223	0.441	-0.09	0.05	-0.293	0.006	0.079	-0.398
ADAM9	8754	0.352	0.097	0.199	0.136	0.084	-0.083	-0.16	-0.23	0.138	-0.527	0.432	0.044	0.263	-0.475	0.117	-0.22	-0.168
ADAMDEC1	27299	0.321	0.088	-0.061	-0.292	0.007	0.338	-0.209	-0.029	0.297	0.191	0.186	0.222	-0.175	-0.626	-0.017	0.086	-0.327
ADAMTS13	11093	0.123	-0.267	-0.425	-0.259	0.014	-0.658	-0.243	-0.109	-0.105	-0.102	0.451	0.096	-0.141	0.236	0.539	0.948	-0.1
