Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000004455	AK2	-0.06	-0.12	-0.24	-0.34	-0.2	-0.08	0.02	-0.04	-0.09	-0.18	0.52	-0.02	-0.55	-0.95
ENSG00000005156	LIG3	0.05	0.1	0.19	0.3	0.24	0.14	0.04	0.02	0.03	0.04	0.77	0.46	0.35	0.28
ENSG00000013275	PSMC4	0.01	0.03	0.05	0.05	0.13	0.14	0.14	-0.15	-0.3	-0.61	0.22	0.27	0.33	0.36
ENSG00000025708	TYMP	-0.13	-0.25	-0.51	0.42	0.05	-0.18	-0.34	0.08	0.16	0.32	-0.19	0.37	0.46	0.48
ENSG00000025796	SEC63	-0.01	-0.02	-0.05	-0.13	0.24	0.39	0.49	-0.06	-0.11	-0.23	1.1	0.67	0.34	0.1
ENSG00000026025	VIM	0.02	0.05	0.11	-0.48	-0.29	-0.29	-0.26	-0.07	-0.14	-0.28	0.45	0.15	-0.07	-0.22
ENSG00000031698	SARS	0.03	0.05	0.1	1.38	1	0.45	0.04	-0.02	-0.03	-0.07	1.31	1.04	0.42	-0.08
ENSG00000033178	UBA6	0	-0.01	-0.02	0.45	-0.12	-0.07	-0.01	0.09	0.19	0.38	0.28	0.41	0.36	0.3
ENSG00000038219	BOD1L1	0.03	0.05	0.11	0.53	0.44	0.19	-0.01	0.1	0.2	0.41	0.57	0.16	-0.01	-0.14
ENSG00000044574	HSPA5	0.68	1.36	2.71	2.3	3.23	2.24	1.35	0.78	1.55	3.1	3.98	3.1	1.76	0.73
ENSG00000052749	RRP12	-0.01	-0.02	-0.04	0.61	0.65	0.41	0.2	0.28	0.55	1.07	1.63	1.52	1.49	1.46
ENSG00000054148	PHPT1	-0.1	-0.19	-0.38	-0.22	0.04	0.2	0.31	-0.03	-0.06	-0.13	0.31	0.33	0.26	0.21
ENSG00000058262	SEC61A1	-0.02	-0.04	-0.08	0.18	0.41	0.39	0.39	-0.1	-0.21	-0.41	1.23	0.68	0.26	-0.04
ENSG00000059573	ALDH18A1	0.09	0.17	0.33	-0.26	0.29	0.42	0.48	-0.13	-0.26	-0.51	0.38	0.28	0.13	0.02
ENSG00000063046	EIF4B	0.01	0.01	0.02	-0.59	-0.14	0.26	0.56	-0.17	-0.33	-0.66	-0.27	-0.26	-0.04	0.05
ENSG00000067167	TRAM1	0.07	0.14	0.28	0.29	0.55	0.52	0.48	-0.01	-0.03	-0.06	1.3	0.82	0.42	0.13
ENSG00000070081	NUCB2	0	0.01	0.04	0.79	2.35	1.87	1.82	0.06	0.12	0.25	2.62	2.62	1.91	1.65
ENSG00000070087	PFN2	-0.02	-0.05	-0.09	-0.58	-0.11	0.2	0.46	-0.27	-0.54	-1.08	-0.43	-0.24	-0.06	0.07
ENSG00000070961	ATP2B1	0.07	0.15	0.3	1.09	1.15	0.91	0.7	-0.09	-0.19	-0.37	0.87	0.53	0.31	0.16
ENSG00000072042	RDH11	0.12	0.25	0.51	0.88	0.48	0.29	0.18	0.02	0.05	0.1	-0.07	0.3	0.07	-0.17
ENSG00000074842	C19orf10	0.06	0.12	0.23	1.01	1.01	0.99	0.98	0.06	0.13	0.25	1.33	1.06	0.9	0.79
ENSG00000078140	UBE2K	0.06	0.13	0.27	0.53	0.25	0.14	0.07	-0.03	-0.06	-0.12	-0.01	0	-0.01	-0.03
ENSG00000079332	SAR1A	0.07	0.15	0.3	-0.04	-0.14	-0.2	-0.24	-0.03	-0.07	-0.13	0.41	0.07	-0.09	-0.19
ENSG00000083312	TNPO1	0.15	0.31	0.62	0.69	0.68	0.65	0.64	-0.13	-0.26	-0.53	0.36	0.3	0.11	-0.05
ENSG00000084623	EIF3I	0	0	0	-0.3	-0.14	0.14	0.32	-0.15	-0.3	-0.6	0.08	0.08	0.04	0
