miRNA_id	miRNA_family	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
hsa-mir-451a	mir-451	0.233	-0.193	0.868	0.391	0.552	0.723	0.604	0.882	-1.989	0.613	-0.869	-0.822	0.253	0.037	-0.41	-0.203	-0.669
hsa-mir-1973	mir-1973	0.923	-1.233	-0.128	0.259	0.039	-0.931	-0.255	-4.119	1.4	-0.526	1.435	1.504	0.165	0.015	-0.002	0.656	0.8
hsa-mir-142-5p	mir-142-5p	0.064	-0.398	0.105	0.223	-0.335	-0.655	-0.697	-1.545	0.428	-0.292	0.897	0.65	-0.016	0.3	0.741	0.134	0.395
hsa-mir-16-5p	mir-15-5p/16-5p/195-5p/424-5p/497-5p	0.062	-0.516	0.52	0.287	0.427	0.555	0.66	0.895	-1.308	0.253	-0.552	-0.536	0.045	-0.073	-0.343	0.004	-0.381
hsa-mir-320c	mir-320	-0.119	0.043	-0.491	-0.46	0.351	0.255	0.55	0.274	0.987	-0.659	0.395	0.327	-0.737	-0.568	-0.068	-0.33	0.249
hsa-mir-486-5p	mir-486-5p	0.549	-0.28	0.419	0.398	0.316	0.746	1.143	1.478	-1.379	0.062	-0.888	-0.764	-0.253	-0.345	-0.576	0.008	-0.635
hsa-mir-320d	mir-320	-0.097	-0.071	-0.201	-0.068	-0.056	0.243	0.683	0.349	0.692	-0.148	0.164	0.347	-0.619	-0.676	-0.244	-0.388	0.092
hsa-mir-320b	mir-320	0.096	0.015	-0.317	-0.378	-0.149	0.302	0.556	0.304	0.604	-0.353	0.086	0.43	-0.57	-0.733	0.098	-0.164	0.172
hsa-mir-15a-5p	mir-15-5p/16-5p/195-5p/424-5p/497-5p	0.57	-0.735	0.726	0.029	0.21	0.195	0.536	0.479	-0.819	0.422	-0.643	-0.65	0.243	-0.382	-0.471	0.252	0.039
hsa-mir-17-5p	mir-17-5p/20-5p/93-5p/106-5p/519-3p	-0.241	-0.547	-0.074	0.185	1.794	0.044	0.298	0.059	-0.414	0.117	-0.23	-0.125	-0.049	-0.295	-0.344	-0.054	-0.122
hsa-mir-20a-5p	mir-17-5p/20-5p/93-5p/106-5p/519-3p	-0.061	-0.528	0.207	0.367	0.069	0.082	0.544	0.577	-0.828	0.165	-0.088	-0.243	0.132	-0.3	-0.009	0.046	-0.132
hsa-mir-92a-3p	mir-25-3p/32-5p/92-3p/363-3p/367-3p	0.068	-0.443	0.118	0.004	0.653	0.206	0.884	0.93	-0.596	0.183	-0.583	-0.393	-0.219	-0.269	-0.306	-0.189	-0.048
hsa-mir-223-3p	mir-223-3p	0.083	-0.468	-0.172	0.449	-0.282	-0.719	-0.997	-2.481	0.548	0.003	1.147	0.795	0.234	0.124	0.887	0.22	0.63
hsa-let-7b-5p	let-7-5p/98-5p	-0.092	-0.525	0.007	-0.208	0.304	0.4	0.421	0.783	-0.162	0.548	-0.489	-0.087	0.008	-0.346	-0.294	-0.282	0.015
hsa-mir-24-3p	mir-24-3p	0.068	-0.282	-0.49	-0.636	-0.047	-0.45	-0.098	-1.014	0.138	0.406	0.524	0.334	0.42	0.333	0.232	0.105	0.457
hsa-mir-21-5p	mir-21-5p/590-5p	-0.139	-0.11	-0.012	0.009	-0.346	-0.442	-0.919	-0.708	0.018	0.211	0.849	0.424	0.732	0.094	0.12	-0.189	0.408
hsa-mir-23a-3p	mir-23-3p	0.198	-0.182	-0.46	-0.309	-0.374	-0.865	-0.556	-2.47	0.852	-0.215	0.749	1.022	0.427	0.097	0.814	0.102	1.171
hsa-mir-22-3p	mir-22-3p	0.348	0.033	-0.221	-0.116	0.097	0.217	0.501	0.144	0.025	-0.283	-0.168	0.138	-0.256	0.073	-0.181	-0.094	-0.257
hsa-mir-19b-3p	mir-19-3p	-0.345	-0.192	0.382	0.19	0.128	-0.019	0.255	0.547	-0.462	0.18	0.136	-0.123	0.138	-0.166	0.004	-0.145	-0.509
hsa-mir-185-5p	mir-185-5p	-0.111	-0.444	-0.001	0.081	0.134	-0.061	0.511	0.413	-0.085	0.087	-0.151	0.163	-0.201	-0.188	-0.196	0.169	-0.122
hsa-mir-23b-3p	mir-23-3p	0.255	-0.395	-0.22	-0.279	-0.239	-0.441	-0.385	-1.177	0.326	-0.275	0.686	0.799	0.127	0.334	0.535	0.093	0.257
hsa-let-7f-5p	let-7-5p/98-5p	0.074	-1.045	-0.408	0.127	0.362	-0.463	-1.632	-1.233	0.55	0.698	0.611	0.773	1.085	-0.12	0.228	-0.167	0.56
hsa-mir-320a	mir-320	0.139	-0.1	-0.315	-0.232	0.096	0.263	0.361	0.221	0.678	-0.355	0.173	0.247	-0.581	-0.544	0.061	-0.287	0.175
hsa-mir-423-5p	mir-423-5p	-0.151	-0.126	0.031	-0.457	0.099	-0.111	0.559	0.548	0.529	0.105	-0.533	0.225	-0.271	-0.233	0.073	-0.315	0.027
hsa-mir-221-3p	mir-221-3p/222-3p	0.268	-0.071	-0.547	-0.4	-0.367	-0.626	0.344	-1.711	0.878	-0.378	0.607	0.965	-0.248	-0.19	0.455	0.146	0.876
hsa-mir-146b-5p	mir-146-5p	-0.091	0.514	-0.368	-0.158	0.167	-0.902	-0.244	-2.001	1.22	0.029	0.923	0.09	-0.46	0.086	0.587	0.044	0.565
hsa-mir-146a-5p	mir-146-5p	0.385	0.166	-0.267	-0.389	-0.054	-0.737	-0.34	-2.719	1.051	-0.121	0.912	0.879	-0.001	0.085	0.514	0.063	0.574
hsa-mir-103a-3p	mir-103-3p/107	-0.346	-0.701	0.111	0.164	0.413	-0.169	-0.055	-0.194	-0.54	0.329	-0.125	-0.25	0.828	-0.18	0.375	0.025	0.314
hsa-let-7a-5p	let-7-5p/98-5p	0.25	-0.799	-0.545	-0.238	0.355	-0.097	-0.767	-0.159	0.451	0.411	0.03	0.345	0.755	0.161	-0.177	-0.552	0.576
hsa-mir-126-3p	NA	-0.034	-0.474	-0.078	-0.154	-0.175	-0.336	-0.797	-1.36	0.305	0.054	0.692	0.609	0.324	0.256	0.563	0.103	0.502
hsa-mir-30e-5p	mir-30-5p	0.112	-0.464	-0.009	-0.06	0.147	-0.161	0.296	0.219	0.069	-0.077	0.037	0.266	-0.124	-0.164	0.1	-0.212	0.026
hsa-mir-25-3p	mir-25-3p/32-5p/92-3p/363-3p/367-3p	0.214	-0.533	0.439	0.155	0.375	0.62	0.855	0.734	-0.964	0.349	-0.911	-0.489	-0.137	-0.232	-0.246	0.019	-0.247
hsa-let-7i-5p	let-7-5p/98-5p	-0.065	-0.374	0.026	-0.182	-0.019	-0.146	0.085	0.111	0.127	0.138	0.091	0.215	0.137	-0.184	-0.026	-0.016	0.082
hsa-mir-27a-3p	mir-27-3p	0.153	0.122	-0.018	-0.086	-0.494	-0.811	-0.549	-1.766	0.825	-0.408	1.049	0.582	0.15	0.198	0.52	-0.019	0.552
hsa-mir-144-3p	mir-144-3p	0.146	-0.018	1.34	0.204	0.258	0.744	-0.018	0.522	-2.118	1.339	-0.59	-0.859	1.259	-0.465	-0.421	-0.178	-1.145
hsa-mir-302f	mir-302f	-0.032	-0.192	-0.31	-0.235	0.199	-0.417	0.402	-0.052	0.359	-0.109	-0.104	0.299	-0.028	-0.209	0.116	-0.131	0.444
hsa-mir-19a-3p	mir-19-3p	-0.217	-0.126	0.76	0.218	0.133	0.034	-0.087	0.191	-0.364	0.425	0.139	-0.342	0.266	-0.143	-0.033	-0.3	-0.554
hsa-mir-20b-5p	mir-17-5p/20-5p/93-5p/106-5p/519-3p	-0.35	-0.088	0.507	0.183	0.565	0.267	0.774	1.147	-1.231	0.334	-0.842	-0.445	-0.137	-0.313	-0.217	0.058	-0.211
hsa-mir-26a-5p	mir-26-5p	-0.083	-0.935	-0.324	-0.011	0.003	-0.463	-1.059	-1.227	0.155	0.266	0.59	0.296	1.126	0.174	0.698	0.216	0.577
hsa-mir-106a-5p	mir-17-5p/20-5p/93-5p/106-5p/519-3p	-0.168	-0.354	-0.01	-0.246	0.469	0.001	0.426	0.632	-0.146	-0.004	-0.544	0.141	-0.12	-0.158	-0.053	0.151	-0.017
hsa-mir-4306	mir-185-5p	0.082	-0.113	-0.036	0.055	0.011	0.186	0.804	0.368	-0.617	0.177	-0.147	-0.094	-0.153	-0.309	-0.25	0.22	-0.183
hsa-mir-15b-5p	mir-15-5p/16-5p/195-5p/424-5p/497-5p	0.226	-0.671	0.026	0.076	-0.141	-0.517	-0.463	-0.765	-0.05	0.156	0.526	0.463	0.582	0.135	0.164	0.065	0.189
hsa-mir-652-3p	mir-652-3p	0.005	-0.398	-0.482	-0.262	-0.01	-0.484	-0.392	-0.755	0.886	-0.148	0.587	0.738	-0.072	0.018	0.296	-0.15	0.624
hsa-let-7g-5p	let-7-5p/98-5p	-0.059	-0.718	-0.111	0.213	0.139	-0.208	-0.67	-0.493	-0.249	0.283	0.202	0.089	0.886	0.189	0.068	0.112	0.326
hsa-mir-130a-3p	mir-130-3p/301-3p/454-3p	-0.268	-0.073	-0.208	-0.273	-0.692	-1.17	0.242	-1.123	1.007	0.023	0.782	0.261	-0.035	0.231	0.28	0.532	0.485
hsa-mir-106b-5p	mir-17-5p/20-5p/93-5p/106-5p/519-3p	-0.111	-0.258	0.494	0.353	0.225	0.032	0.167	0.187	-0.45	0.183	-0.127	-0.336	0.172	-0.268	-0.134	0.015	-0.144
hsa-mir-363-3p	mir-25-3p/32-5p/92-3p/363-3p/367-3p	0.131	-0.239	0.445	0.399	0.367	0.069	0.735	0.843	-1.453	0.323	-0.764	-0.554	0.062	-0.227	-0.057	0.207	-0.285
hsa-mir-191-5p	mir-191-5p	-0.086	-0.623	-0.465	-0.25	0.209	-0.492	-0.355	-1.192	0.692	0.063	0.111	0.363	0.623	0.216	0.53	0.108	0.547
hsa-mir-101-3p	NA	0.173	0.091	0.669	0.335	0.151	-0.05	0.459	0.421	-1.432	0.47	-0.174	-0.578	0.357	-0.207	-0.163	-0.08	-0.443
hsa-mir-199b-3p	mir-199-3p	0.674	-0.313	0.179	-0.011	-0.347	-1.251	-1.219	-2.997	0.7	-0.018	1.136	0.893	0.21	0.6	0.958	0.345	0.462
hsa-mir-27b-3p	mir-27-3p	0.134	0.122	-0.221	-0.216	0.854	-0.617	-0.451	-0.648	0.439	-0.63	1.032	0.293	-0.124	-0.009	0.517	-0.493	0.018
hsa-mir-126-5p	mir-126-5p	0.077	-0.256	-0.028	0.118	-0.474	-0.522	-0.755	-1.457	0.296	-0.045	0.787	0.715	0.116	0.156	0.635	0.301	0.337
hsa-mir-320e	mir-320e	-0.657	0.154	-0.83	-0.153	-0.562	0.187	0.372	0.199	0.865	-0.561	0.795	0.756	-0.334	-0.775	0.116	0.114	0.315
hsa-mir-30b-5p	mir-30-5p	-0.199	-0.374	-0.13	0.063	0.183	-0.893	-1.118	0.253	-0.025	0.354	0.28	0.148	1.668	-0.019	0.235	-0.476	0.05
hsa-mir-361-5p	mir-361-5p	0.211	-0.227	-0.198	-0.205	0.07	-0.212	-0.26	-0.909	0.594	-0.525	0.228	0.75	-0.076	0.047	0.346	-0.052	0.419
hsa-mir-222-3p	mir-221-3p/222-3p	0.186	-0.115	-0.372	-0.066	-0.415	-0.228	0.579	-0.656	0.391	-0.353	0.468	0.569	-0.29	-0.447	0.279	0.039	0.432
hsa-mir-181a-5p	mir-181-5p	0.14	-0.95	-0.335	-0.066	0.166	-0.046	-0.172	-0.193	0.432	-0.282	0.416	0.501	0.04	0.194	-0.085	0.148	0.091
hsa-mir-151a-5p	mir-151-5p	0.062	-0.226	-0.455	-0.438	0.11	-0.616	-0.307	-1.727	0.734	0.072	0.376	0.695	0.496	0.145	0.625	-0.166	0.618
hsa-mir-29a-3p	mir-29-3p	-0.061	0.23	0.142	0.801	0.111	0.179	-0.2	-0.311	-0.268	-0.557	0.504	0.406	-0.206	-0.074	-0.033	-0.333	-0.33
hsa-mir-374a-5p	mir-374-5p	-0.208	-0.858	0.264	0.534	0.066	-1.04	-1.346	-1.558	-0.473	0.733	0.775	-0.547	1.656	0.479	0.483	0.309	0.731
hsa-mir-140-3p	NA	0.239	-0.309	-0.014	0.182	0.425	0.082	0.835	0.625	-0.111	-0.156	-0.361	-0.064	-0.426	-0.268	-0.312	-0.196	-0.172
hsa-mir-425-5p	mir-425-5p	-0.034	-0.521	0.091	-0.02	0.264	0.13	0.294	-0.037	-0.18	-0.112	0.166	0.118	-0.069	0.003	-0.029	-0.148	0.083
hsa-mir-18a-5p	mir-18-5p	-0.331	-0.269	-0.368	0.069	0.14	-0.498	-0.066	0.087	0.063	-0.082	0.156	0.437	0.161	-0.586	0.339	0.307	0.442
hsa-mir-1290	mir-1290	-0.055	0.759	0.226	1.956	0.95	1.31	1.181	0.779	-1.151	-0.305	-0.824	-1.219	-1.202	-0.484	-1.115	0.032	-0.837
hsa-mir-130b-3p	mir-130-3p/301-3p/454-3p	0.633	-0.577	-0.067	-0.29	-0.213	-0.296	0.08	-0.444	0.067	-0.337	0.387	0.579	-0.282	0.046	0.287	0.138	0.287
hsa-mir-484	mir-484/3155	0.139	-0.07	0.006	-0.083	0.277	-0.163	0.382	0.548	0.198	-0.091	0.032	-0.149	-0.334	-0.278	-0.204	-0.177	-0.034
hsa-mir-335-5p	mir-335-5p	-0.589	0.017	0.173	-0.07	0.183	-0.664	-1.221	-1.838	0.788	-0.173	0.941	0.727	0.341	0.403	0.039	0.336	0.608
hsa-mir-199a-5p	mir-199-5p	0.254	0.134	0.342	-0.13	-0.526	-1.365	-1.129	-3.186	0.886	0.071	1.058	0.783	0.596	0.484	0.872	0.124	0.731
hsa-mir-30a-5p	mir-30-5p	-0.21	0.994	-1.034	-0.267	-0.333	0.944	1.307	2.005	-0.623	-0.275	-0.566	0.125	-0.577	-0.36	-0.836	-0.137	-0.156
hsa-mir-584-5p	mir-584-5p	1.214	0.192	-0.727	-0.88	-0.071	-0.85	-0.309	-1.603	1.046	-0.359	1.009	0.992	-0.316	-0.319	0.267	0.157	0.558
