Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000004455	AK2	-0.18	-0.35	-0.71	-0.94	-0.62	-0.85	-0.95	-0.02	-0.04	-0.08	-0.59	-0.34	-0.44	-0.54
ENSG00000005156	LIG3	0.05	0.1	0.2	0.6	0.08	0.05	0.03	0.15	0.3	0.59	-0.27	0.19	0.59	0.89
ENSG00000013275	PSMC4	0.02	0.05	0.1	-0.13	0.03	0	-0.04	0.04	0.07	0.15	0.03	-0.02	0.08	0.14
ENSG00000025708	TYMP	-0.11	-0.22	-0.43	-1.18	-0.82	-0.42	-0.11	0.01	0.01	0.02	-0.4	-0.29	-0.25	-0.21
ENSG00000025796	SEC63	-0.48	-0.97	-1.93	-1.19	-1.54	-1.18	-0.82	-0.21	-0.43	-0.85	-0.5	-0.5	-0.92	-1.08
ENSG00000026025	VIM	0.02	0.04	0.08	0.07	-0.03	-0.13	-0.2	0	0.01	0.02	0.02	-0.11	-0.19	-0.25
ENSG00000031698	SARS	0.03	0.06	0.13	-0.22	-0.24	-0.3	-0.34	0	0	0	-0.25	-0.06	0.13	0.28
ENSG00000033178	UBA6	0.14	0.28	0.56	-0.27	-0.22	-0.12	-0.04	-0.04	-0.09	-0.17	-0.39	-0.11	0.19	0.41
ENSG00000038219	BOD1L1	0.15	0.31	0.62	0.89	0.63	0.92	1.06	0.27	0.54	1.08	-0.23	-0.23	0.21	0.38
ENSG00000044574	HSPA5	0.08	0.15	0.3	0.71	1.89	2.49	3.01	0.02	0.05	0.11	1.36	1.99	2.37	2.64
ENSG00000052749	RRP12	-0.18	-0.35	-0.7	0.26	0.3	0.32	0.32	0.12	0.25	0.51	1.04	1.03	0.73	0.47
ENSG00000054148	PHPT1	0.09	0.18	0.36	-0.38	-0.49	-0.53	-0.57	-0.05	-0.1	-0.2	-0.97	-0.72	-0.56	-0.45
ENSG00000058262	SEC61A1	0.07	0.14	0.29	0.49	0.95	0.97	1.01	-0.05	-0.1	-0.21	0.33	0.57	0.19	-0.14
ENSG00000059573	ALDH18A1	-0.01	-0.02	-0.03	0.02	0.18	0.65	1.02	0.03	0.06	0.11	0.63	0.61	0.5	0.42
ENSG00000063046	EIF4B	-0.11	-0.22	-0.45	-0.59	-0.04	-0.19	-0.2	-0.02	-0.03	-0.06	-0.23	-0.35	-0.4	-0.44
ENSG00000067167	TRAM1	-0.08	-0.14	-0.27	-1.05	-0.65	-0.76	-0.89	0.04	0.08	0.17	0.27	0.08	-0.11	-0.25
ENSG00000070081	NUCB2	-0.23	-0.47	-0.95	-0.44	-0.08	0.66	1.26	0.09	0.19	0.38	-0.19	0.93	1.76	2.38
ENSG00000070087	PFN2	0.01	0.02	0.04	-0.52	-0.41	-0.33	-0.27	-0.11	-0.21	-0.41	0.15	0.16	0.26	0.34
ENSG00000070961	ATP2B1	0.43	0.86	1.69	0.54	0.3	0.96	1.55	0.03	0.07	0.13	0.15	-0.12	-0.33	-0.48
ENSG00000072042	RDH11	0.17	0.34	0.67	0.97	0.04	0.58	1.13	-0.04	-0.07	-0.14	-0.72	-0.46	-0.7	-0.91
ENSG00000074842	C19orf10	-0.06	-0.12	-0.25	0.26	0.53	0.79	0.98	0.04	0.08	0.17	-1.04	-0.38	0.5	1.18
ENSG00000078140	UBE2K	0.14	0.28	0.56	-0.14	-0.31	-0.24	-0.23	0.01	0.02	0.05	-0.06	-0.25	-0.07	0.1
ENSG00000079332	SAR1A	-0.05	-0.11	-0.22	-0.16	-0.08	0.13	0.3	0.23	0.47	0.95	0.83	0.83	0.82	0.8
ENSG00000083312	TNPO1	-0.01	-0.02	-0.05	-0.22	-0.11	-0.13	-0.16	-0.04	-0.08	-0.16	-0.55	-0.38	-0.28	-0.21
ENSG00000084623	EIF3I	-0.02	-0.03	-0.05	0.13	0.18	0.12	0.08	-0.03	-0.05	-0.1	-0.08	-0.15	0	0.14
ENSG00000084774	CAD	0	-0.01	-0.02	-0.38	-0.39	-0.47	-0.54	0	0.01	0.01	-0.59	-0.39	-0.29	-0.22
ENSG00000086065	CHMP5	-0.12	-0.24	-0.48	-0.5	-0.6	-0.7	-0.78	-0.18	-0.37	-0.74	-1.53	-1.17	-0.79	-0.53
ENSG00000086758	HUWE1	-0.08	-0.17	-0.33	-0.73	-0.73	-0.73	-0.73	-0.1	-0.2	-0.4	-1.02	-1.03	-0.87	-0.75
ENSG00000087191	PSMC5	0.09	0.18	0.36	-0.04	-0.04	-0.12	-0.19	0.02	0.05	0.1	-0.57	-0.24	-0.32	-0.32
ENSG00000087842	PIR	0.12	0.23	0.46	-0.23	-0.44	-0.44	-0.45	-0.04	-0.09	-0.18	-1.54	-1.29	-1.19	-1.14
ENSG00000088832	FKBP1A	0.04	0.08	0.15	-0.09	0.19	0.01	-0.16	-0.06	-0.12	-0.24	-0.03	-0.02	0.02	0.05
ENSG00000090013	BLVRB	-0.08	-0.16	-0.32	-0.07	-0.67	-0.52	-0.52	0	-0.01	-0.02	-0.46	-0.12	0.26	0.55
ENSG00000090621	PABPC4	0.05	0.09	0.18	-0.11	-0.01	-0.08	-0.11	-0.02	-0.04	-0.09	-0.01	-0.02	0.07	0.14
ENSG00000090861	AARS	-0.03	-0.07	-0.14	-0.16	0.45	0.31	0.31	-0.03	-0.06	-0.12	-0.76	-0.29	0.14	0.46
ENSG00000092010	PSME1	-0.18	-0.36	-0.73	-1.11	-0.71	-0.83	-0.97	-0.17	-0.34	-0.67	-1.34	-1.19	-1.12	-1.08
ENSG00000092621	PHGDH	-0.05	-0.1	-0.19	-0.1	0	0.11	0.19	0.02	0.05	0.09	-0.07	0.15	0.29	0.39
ENSG00000099341	PSMD8	0.05	0.1	0.19	0.35	0.24	-0.09	-0.36	-0.09	-0.17	-0.34	-0.61	-0.61	-0.54	-0.48
ENSG00000100029	PES1	-0.19	-0.38	-0.77	0.04	0.27	0.54	0.76	-0.1	-0.2	-0.4	0.31	0.13	0.07	0.03
ENSG00000100220	C22orf28	0	0	0.01	-0.22	-0.15	-0.06	0	-0.03	-0.06	-0.12	-0.52	-0.15	-0.26	-0.28
ENSG00000100292	HMOX1	-0.84	-1.68	-3.37	-3.45	-1.73	-1.02	-0.61	-0.06	-0.13	-0.27	-1.3	-0.82	-0.27	0.15
ENSG00000100462	PRMT5	-0.14	-0.28	-0.54	-0.85	-0.64	-0.54	-0.47	0	0	0.01	-0.11	-0.28	-0.17	-0.05
ENSG00000101294	HM13	0.26	0.53	1.06	1.28	1.84	2.74	3.44	-0.05	-0.1	-0.21	0.09	-0.04	0.1	0.24
ENSG00000102158	MAGT1	0.38	0.76	1.52	0.2	0.88	1.36	1.69	-0.02	-0.04	-0.09	-0.18	-0.3	0.01	0.24
ENSG00000102580	DNAJC3	-0.8	-1.61	-3.28	-0.03	-0.77	-1.04	-1.19	-0.25	-0.49	-0.94	-0.73	-0.27	-0.26	-0.28
ENSG00000103353	UBFD1	-0.08	-0.17	-0.35	-1.21	-0.7	-1.08	-1.49	0.16	0.33	0.65	-0.37	-0.32	-0.28	-0.25
ENSG00000104388	RAB2A	-0.02	-0.04	-0.09	0.19	-0.28	0.07	0.22	-0.05	-0.09	-0.18	0.17	0.03	-0.12	-0.24
ENSG00000105379	ETFB	-0.13	-0.26	-0.5	0.04	0.64	0.6	0.49	0.03	0.06	0.13	0.28	0.6	0.6	0.64
ENSG00000105402	NAPA	0	0	0	-0.27	-0.27	-0.27	-0.28	-0.03	-0.06	-0.12	-0.38	-0.31	-0.21	-0.13
ENSG00000105669	COPE	0.08	0.16	0.31	0.06	-0.53	-0.84	-1.04	-0.07	-0.14	-0.28	-0.5	-0.67	-0.38	-0.11
ENSG00000105835	NAMPT	-0.11	-0.22	-0.44	0.02	-0.02	-0.22	-0.36	0.06	0.12	0.24	-0.45	-0.06	0	0.1
ENSG00000106105	GARS	0	0	0	-0.41	0.04	0.34	0.56	0.01	0.01	0.02	-0.24	-0.01	0.13	0.22
ENSG00000106245	BUD31	-0.2	-0.41	-0.83	0.13	-0.51	-0.58	-0.58	-0.19	-0.37	-0.75	-0.52	-1.48	-0.88	-0.66
ENSG00000106803	SEC61B	0.24	0.48	0.97	1.42	1.54	1.73	1.88	0.01	0.02	0.05	0.28	0.18	0.14	0.12
ENSG00000106853	PTGR1	0.03	0.06	0.12	-0.29	0.14	0.39	0.56	-0.13	-0.25	-0.51	-0.46	-0.34	-0.18	-0.05
ENSG00000107223	EDF1	0.31	0.61	1.2	0.52	0.27	0.44	0.62	-0.06	-0.12	-0.24	-0.27	-0.36	-0.28	-0.21
ENSG00000107581	EIF3A	0	0	-0.01	-0.46	-0.56	-0.7	-0.79	-0.12	-0.25	-0.49	-0.9	-0.77	-0.64	-0.54
ENSG00000108829	LRRC59	-0.1	-0.2	-0.4	-1.12	-0.85	-0.44	-0.13	-0.04	-0.07	-0.14	-0.81	-0.46	-0.14	0.1
