	103504732
hsa-mir-4310	100423013
hsa-mir-4794	100616338
hsa-mir-1284	100302112
hsa-mir-4311	100422905
hsa-mir-4795	100616161
hsa-mir-1281	100302237
hsa-mir-4312	100422971
hsa-mir-4796	100616166
hsa-mir-1282	100302254
hsa-mir-4313	100423035
hsa-mir-4797	100616216
hsa-mir-1287	100302133
hsa-mir-4790	100616334
hsa-mir-1288	100302124
hsa-mir-4791	100616291
hsa-mir-1286	100302118
hsa-mir-4793	100616112
hsa-mir-4318	100422857
hsa-mir-4319	100422829
hsa-mir-4314	100422983
hsa-mir-4798	100616471
hsa-mir-4799	100616246
hsa-mir-4316	100422851
hsa-mir-4317	100422840
hsa-mir-1272	100302184
hsa-mir-4783	100616187
hsa-mir-1273	100302165
hsa-mir-4300	100422823
hsa-mir-4784	100616378
hsa-mir-4301	100422855
hsa-mir-4785	100616364
hsa-mir-1271	100302203
hsa-mir-4302	100422897
hsa-mir-4786	100616417
hsa-mir-548x-2	100616302
hsa-mir-1276	100302121
hsa-mir-1277	100302214
hsa-mir-4780	100616447
hsa-mir-4781	100616315
hsa-mir-1275	100302123
hsa-mir-4782	100616208
hsa-mir-4307	100423019
hsa-mir-4308	100422984
hsa-mir-1278	100302163
hsa-mir-4309	100422954
hsa-mir-1279	100302182
hsa-mir-4303	100422924
hsa-mir-4787	100616138
hsa-mir-4304	100422931
hsa-mir-4788	100616281
hsa-mir-4305	100422940
hsa-mir-4789	100616395
hsa-mir-4306	100422861
hsa-mir-6510	102466658
hsa-mir-6513	102465256
hsa-mir-7844	102465834
hsa-mir-6512	102465255
hsa-mir-7843	102465832
hsa-mir-4330	100422930
hsa-mir-3198-1	100423025
hsa-mir-376a-1"	494325
hsa-mir-3198-2	100616400
hsa-mir-7849	102465837
hsa-mir-3155b	100628560
hsa-mir-6515	102466659
hsa-mir-7846	102465836
hsa-mir-6514	102465257
hsa-mir-7845	102465835
hsa-mir-7848	102466865
hsa-mir-6516	102466864
hsa-mir-7847	102465993
hsa-mir-1294	100302181
hsa-mir-4321	100423031
hsa-mir-6500	102466656
"hsa-mir-135-1	406925
hsa-mir-1295	100302178
hsa-mir-4322	100422925
hsa-mir-1292	100302138
hsa-mir-4323	100422980
hsa-mir-6502	102465249
hsa-mir-1293	100302220
hsa-mir-4324	100422979
hsa-mir-6501	102465248
hsa-mir-1298	100302153
hsa-mir-1299	100302167
hsa-mir-1296	100302150
hsa-mir-1297	100302187
hsa-mir-4320	100422865
hsa-mir-1290	100302276
hsa-mir-1291	100302221
"hsa-mir-135-2	406926
hsa-mir-4329	100423009
hsa-mir-6508	102466972
hsa-mir-6507	102465253
hsa-mir-6509	102465254
hsa-mir-4325	100422883
hsa-mir-6504	102465251
hsa-mir-4326	100422945
hsa-mir-6503	102465250
hsa-mir-4327	100422891
hsa-mir-6506	102465252
hsa-mir-4328	100422932
hsa-mir-6505	102466657
hsa-mir-5685	100847075
hsa-mir-5687	100847019
hsa-mir-135a-2"	406926
hsa-mir-5688	100847077
hsa-mir-5682	100847043
hsa-mir-5683	100847034
hsa-mir-5684	100847071
hsa-mir-4662a	100616221
hsa-mir-4662b	100616255
hsa-mir-5680	100847001
hsa-mir-216b	100126319
hsa-mir-301b	100126318
hsa-mir-5689	100846998
hsa-mir-135a-1"	406925
hsa-mir-7853	102466866
hsa-mir-7852	102465839
hsa-mir-7855	102465841
hsa-mir-7854	102465840
hsa-mir-4771-1	100616370
hsa-mir-3119-1	100422839
hsa-mir-7851	102467003
hsa-mir-3119-2	100423010
hsa-mir-7850	102465838
hsa-mir-133a-1	406922
hsa-mir-133a-2	406923
hsa-mir-4771-2	100616165
"hsa-mir-1270	100302179
hsa-mir-7856	102465842
hsa-mir-1255b-2	100313835
hsa-mir-520e	574461
hsa-mir-520f	574464
hsa-mir-1255b-1	100313806
hsa-mir-520g	574484
hsa-mir-520h	574493
"hsa-mir-4792	100616448
hsa-mir-5696	100847007
hsa-mir-5697	100847055
hsa-mir-5698	100847024
hsa-mir-5699	100847086
hsa-mir-5693	100847003
hsa-mir-5694	100847064
hsa-mir-5695	100847016
"hsa-mir-128b	406916
hsa-mir-5690	100847048
"hsa-mir-128a	406915
hsa-mir-5691	100847015
hsa-mir-302b	442894
hsa-mir-520a	574467
hsa-mir-520b	574473
hsa-mir-520c	574476
hsa-mir-520d	574482
hsa-mir-302f	100302131
hsa-mir-302e	100313774
hsa-mir-302d	442896
hsa-mir-302c	442895
hsa-mir-1200	100302113
hsa-mir-4666b	100847047
hsa-mir-4718	100616195
hsa-mir-4719	100616172
hsa-mir-1203	100302211
hsa-mir-4714	100616432
hsa-mir-1204	100302185
hsa-mir-4715	100616474
hsa-mir-4716	100616332
hsa-mir-1202	100302259
hsa-mir-4717	100616241
