2019-Jan-14 23:55:41.632 [RunLevelControllerThread-1547481333914] TRACE  - TRACE: Logger Ready.
2019-Jan-14 23:55:41.642 [RunLevelControllerThread-1547481333914] ERROR  - ERROR: Logger Ready.
2019-Jan-14 23:55:48.402 [admin-listener(3)] TRACE  - TRACE: Logger Ready.
2019-Jan-14 23:55:48.412 [admin-listener(3)] ERROR  - ERROR: Logger Ready.
2019-Jan-14 23:56:16.833 [http-listener-1(1)] TRACE  - 0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/LoadDemo
2019-Jan-14 23:56:26.267 [http-listener-1(1)] INFO   - Hello, servlet!
2019-Jan-15 00:10:29.093[RunLevelControllerThread-1547482221376]TRACETRACE: Logger Ready.
2019-Jan-15 00:10:29.105[RunLevelControllerThread-1547482221376]ERRORERROR: Logger Ready.
2019-Jan-15 00:10:34.760[admin-listener(3)]TRACETRACE: Logger Ready.
2019-Jan-15 00:10:34.770[admin-listener(3)]ERRORERROR: Logger Ready.
2019-Jan-15 00:10:47.412[http-listener-1(1)]TRACE0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/LoadDemo
2019-Jan-15 00:10:52.992[http-listener-1(1)]INFO Hello, servlet!
2019-Jan-15 00:13:19.816	[RunLevelControllerThread-1547482392092]	TRACE		TRACE: Logger Ready.
2019-Jan-15 00:13:19.827	[RunLevelControllerThread-1547482392092]	ERROR		ERROR: Logger Ready.
2019-Jan-15 00:13:25.259	[admin-listener(4)]	TRACE		TRACE: Logger Ready.
2019-Jan-15 00:13:25.269	[admin-listener(4)]	ERROR		ERROR: Logger Ready.
2019-Jan-15 00:14:03.127	[http-listener-1(1)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/LoadDemo
2019-Jan-15 00:14:10.468	[http-listener-1(1)]	INFO 		Hello, servlet!
2019-01-15 00:17:12,575	{yyyy-MMM-dd HH:mm:ss.SSS}	[RunLevelControllerThread-1547482624995]	TRACE		TRACE: Logger Ready.
2019-01-15 00:17:12,585	{yyyy-MMM-dd HH:mm:ss.SSS}	[RunLevelControllerThread-1547482624995]	ERROR		ERROR: Logger Ready.
2019-01-15 00:17:18,660	{yyyy-MMM-dd HH:mm:ss.SSS}	[admin-listener(4)]	TRACE		TRACE: Logger Ready.
2019-01-15 00:17:18,669	{yyyy-MMM-dd HH:mm:ss.SSS}	[admin-listener(4)]	ERROR		ERROR: Logger Ready.
2019-01-15 00:17:23,042	{yyyy-MMM-dd HH:mm:ss.SSS}	[http-listener-1(1)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/LoadDemo
2019-01-15 00:17:28,247	{yyyy-MMM-dd HH:mm:ss.SSS}	[http-listener-1(1)]	INFO 		Hello, servlet!
2019-Jan-15	00:19:37.528	[RunLevelControllerThread-1547482770138]	TRACE		TRACE: Logger Ready.
2019-Jan-15	00:19:37.539	[RunLevelControllerThread-1547482770138]	ERROR		ERROR: Logger Ready.
2019-Jan-15	00:19:44.125	[admin-listener(3)]	TRACE		TRACE: Logger Ready.
2019-Jan-15	00:19:44.134	[admin-listener(3)]	ERROR		ERROR: Logger Ready.
2019-Jan-15	00:19:50.496	[http-listener-1(1)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/LoadDemo
2019-Jan-15	00:20:01.026	[http-listener-1(1)]	INFO 		Hello, servlet!
2019-Jan-16	21:11:12.331	[RunLevelControllerThread-1547644265108]	TRACE		TRACE: Logger Ready.
2019-Jan-16	21:11:12.341	[RunLevelControllerThread-1547644265108]	ERROR		ERROR: Logger Ready.
2019-Jan-16	21:12:06.731	[admin-listener(2)]	TRACE		TRACE: Logger Ready.
2019-Jan-16	21:12:06.741	[admin-listener(2)]	ERROR		ERROR: Logger Ready.
2019-Jan-16	21:19:44.221	[http-listener-1(3)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/LoadDemo
2019-Jan-16	21:19:44.315	[http-listener-1(3)]	INFO 		Hello, servlet!
2019-Jan-16	21:20:00.228	[http-listener-1(5)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/AnalysisReInitializer
2019-Jan-16	21:23:08.582	[http-listener-1(2)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetPhenotypes
2019-Jan-16	21:23:08.584	[http-listener-1(1)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetHeatmap
2019-Jan-16	21:23:08.585	[http-listener-1(3)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/FeatureListServices
2019-Jan-16	21:32:51.695	[http-listener-1(4)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetHeatmap
2019-Jan-16	21:39:57.882	[http-listener-1(2)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetHeatmap
2019-Jan-16	21:40:22.967	[http-listener-1(1)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetHeatmap
2019-Jan-16	21:41:08.103	[http-listener-1(4)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetHeatmap
2019-Jan-16	21:48:20.909	[http-listener-1(5)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetHeatmap
2019-Jan-16	21:48:47.113	[http-listener-1(3)]	TRACE		0:0:0:0:0:0:0:1 accessed http://localhost:8080/msviz-engine/GetHeatmap
2019-Jan-16	21:55:01.247	[admin-listener(5)]	TRACE		TRACE: Logger Ready.
2019-Jan-16	21:55:01.260	[admin-listener(5)]	ERROR		ERROR: Logger Ready.
