CPTAC_ovarian_cancer_protein_zscores.txt,gene_symbol	CPTAC_ovarian_cancer_phosphoproteome_imputed_zscores.txt,gene_symbol_site	color	source
AAK1	AP2M1_t156	102,204,0	PhosphoSitePlus (PSP)
AAK1	NUMB_t102	102,204,0	PhosphoSitePlus (PSP)
ABL1	ABI1_y213	102,204,0	PhosphoSitePlus (PSP)
ABL1	ABL1_y393	102,204,0	PhosphoSitePlus (PSP)
ABL1	ABL1_y412	102,204,0	PhosphoSitePlus (PSP)
ABL1	ABL2_y261	102,204,0	PhosphoSitePlus (PSP)
ABL1	AHSA1_y223	102,204,0	PhosphoSitePlus (PSP)
ABL1	ANXA1_y21	102,204,0	PhosphoSitePlus (PSP)
ABL1	ATR_y291	102,204,0	PhosphoSitePlus (PSP)
ABL1	ATR_y310	102,204,0	PhosphoSitePlus (PSP)
ABL1	BCR_y177	102,204,0	PhosphoSitePlus (PSP)
ABL1	BTK_y223	102,204,0	PhosphoSitePlus (PSP)
ABL1	CASP9_y153	102,204,0	PhosphoSitePlus (PSP)
ABL1	CASP9_y397	102,204,0	PhosphoSitePlus (PSP)
ABL1	CAT_y231	102,204,0	PhosphoSitePlus (PSP)
ABL1	CAT_y386	102,204,0	PhosphoSitePlus (PSP)
ABL1	CAV1_y14	102,204,0	PhosphoSitePlus (PSP)
ABL1	CD19_y508	102,204,0	PhosphoSitePlus (PSP)
ABL1	CDC73_y290	102,204,0	PhosphoSitePlus (PSP)
ABL1	CDC73_y293	102,204,0	PhosphoSitePlus (PSP)
ABL1	CDC73_y315	102,204,0	PhosphoSitePlus (PSP)
ABL1	CDKN1B_y88	102,204,0	PhosphoSitePlus (PSP)
ABL1	CDKN1B_y89	102,204,0	PhosphoSitePlus (PSP)
ABL1	CEBPB_y78	102,204,0	PhosphoSitePlus (PSP)
ABL1	CHCHD2_y99	102,204,0	PhosphoSitePlus (PSP)
ABL1	CRK_y221	102,204,0	PhosphoSitePlus (PSP)
ABL1	CRK_y239	102,204,0	PhosphoSitePlus (PSP)
ABL1	CRK_y251	102,204,0	PhosphoSitePlus (PSP)
ABL1	CRKL_y207	102,204,0	PhosphoSitePlus (PSP)
ABL1	CTNNB1_y489	102,204,0	PhosphoSitePlus (PSP)
ABL1	CTNNB1_y654	102,204,0	PhosphoSitePlus (PSP)
ABL1	CTNNB1_y86	102,204,0	PhosphoSitePlus (PSP)
ABL1	CTTN_y486	102,204,0	PhosphoSitePlus (PSP)
ABL1	DDB1_y182	102,204,0	PhosphoSitePlus (PSP)
ABL1	DDB1_y718	102,204,0	PhosphoSitePlus (PSP)
ABL1	DDX5_y593	102,204,0	PhosphoSitePlus (PSP)
ABL1	DNM1L_y266	102,204,0	PhosphoSitePlus (PSP)
ABL1	DNM1L_y368	102,204,0	PhosphoSitePlus (PSP)
ABL1	DNM1L_y449	102,204,0	PhosphoSitePlus (PSP)
ABL1	EGFR_y1016	102,204,0	PhosphoSitePlus (PSP)
ABL1	EGFR_y1092	102,204,0	PhosphoSitePlus (PSP)
ABL1	EGFR_y1197	102,204,0	PhosphoSitePlus (PSP)
ABL1	EMD_y167	102,204,0	PhosphoSitePlus (PSP)
ABL1	ERCC6_y932	102,204,0	PhosphoSitePlus (PSP)
ABL1	ESR1_y219	102,204,0	PhosphoSitePlus (PSP)
ABL1	ESR1_y52	102,204,0	PhosphoSitePlus (PSP)
ABL1	ESR2_y36	102,204,0	PhosphoSitePlus (PSP)
ABL1	FOXA1_y429	102,204,0	PhosphoSitePlus (PSP)
ABL1	FOXA1_y464	102,204,0	PhosphoSitePlus (PSP)
ABL1	GPX1_y98	102,204,0	PhosphoSitePlus (PSP)
ABL1	HDAC2_y222	102,204,0	PhosphoSitePlus (PSP)
ABL1	HIPK2_y367	102,204,0	PhosphoSitePlus (PSP)
ABL1	HRAS_y137	102,204,0	PhosphoSitePlus (PSP)
ABL1	JUN_y170	102,204,0	PhosphoSitePlus (PSP)
ABL1	JUNB_y173	102,204,0	PhosphoSitePlus (PSP)
ABL1	JUNB_y182	102,204,0	PhosphoSitePlus (PSP)
ABL1	JUNB_y188	102,204,0	PhosphoSitePlus (PSP)
ABL1	KAT5_y294	102,204,0	PhosphoSitePlus (PSP)
ABL1	LASP1_y171	102,204,0	PhosphoSitePlus (PSP)
ABL1	LGALS3_y107	102,204,0	PhosphoSitePlus (PSP)
ABL1	LGALS3_y118	102,204,0	PhosphoSitePlus (PSP)
ABL1	LGALS3_y79	102,204,0	PhosphoSitePlus (PSP)
ABL1	MDM2_y276	102,204,0	PhosphoSitePlus (PSP)
ABL1	MDM2_y394	102,204,0	PhosphoSitePlus (PSP)
ABL1	MDM2_y405	102,204,0	PhosphoSitePlus (PSP)
ABL1	MDM4_y55	102,204,0	PhosphoSitePlus (PSP)
ABL1	MDM4_y99	102,204,0	PhosphoSitePlus (PSP)
ABL1	MET_y1349	102,204,0	PhosphoSitePlus (PSP)
ABL1	MET_y1356	102,204,0	PhosphoSitePlus (PSP)
ABL1	MUC1_y1243	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYC_y32	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYC_y74	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y1449	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y1575	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y1635	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y231	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y464	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y556	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y611	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y792	102,204,0	PhosphoSitePlus (PSP)
ABL1	MYLK_y846	102,204,0	PhosphoSitePlus (PSP)
ABL1	NCK1_y105	102,204,0	PhosphoSitePlus (PSP)
ABL1	NCOA3_y1357	102,204,0	PhosphoSitePlus (PSP)
ABL1	NFAT5_y143	102,204,0	PhosphoSitePlus (PSP)
